VPS41, 7422, 5.016795
WAC-AS1, 13652, 5.014457
KLHL36, 10561, 4.976103
CEBPZOS, 15513, 4.869444
PAK5, 9493, 4.817841
PCDHA11, 9278, 4.798499
CAP2, 5788, 4.680906
TCEAL1, 4952, 4.625376
DYNC1LI1, 7941, 4.572294
PPME1, 8098, 4.542805
SDHAF4, 12705, 4.537106
P4HTM, 8465, 4.527978
ZNF91, 4128, 4.517262
FAM168A, 6657, 4.510433
HIRA, 3938, 4.508535
NLGN4Y, 6384, 4.496896
PPP2R5E, 2869, 4.458102
ESYT3, 11101, 4.409900
GTF2H1, 1570, 4.373454
PURG, 7714, 4.366414
SPATA7, 9165, 4.362916
CCZ1, 8200, 4.361007
UBA5, 10621, 4.342331
RAB11FIP2, 6391, 4.328399
COA7, 10238, 4.294172
ZNF16, 4093, 4.292695
SOS1, 3565, 4.279592
BMPR2, 364, 4.263155
GEN1, 14410, 4.256285
LOC102723968, 15694, 4.253468
CDADC1, 10949, 4.247414
METTL2A, 14250, 4.237416
TMEM74, 13194, 4.233924
JAKMIP2, 5312, 4.219641
FBXO45, 13508, 4.200900
STAG3L4, 10187, 4.198426
OR5V1, 10974, 4.181768
RPSA, 2024, 4.156498
PABPC4, 4621, 4.152257
CNOT7, 7679, 4.148331
SMIM10L1, 15361, 4.140738
LOC100132057, 15417, 4.138298
EMC4, 7993, 4.130358
FRMD4A, 9068, 4.100877
ANKRD18CP, 15630, 4.098520
PRR15, 13721, 4.085092
ISG20L2, 10999, 4.075040
PMS2, 2789, 4.063281
ZNF791, 13296, 4.059790
CYP4Z1, 13476, 4.053904
VAX2, 7056, 4.042770
ST6GAL2, 11395, 4.034874
PSTK, 12311, 4.019405
ALKBH8, 11874, 4.015670
DCST2, 12526, 3.997669
FAM174A, 14372, 3.997269
TAAR2, 4923, 3.991063
PRDM4, 6210, 3.986190
SEPT8, 6635, 3.985260
PAWR, 2587, 3.967824
ZNF562, 8513, 3.957704
ABAT, 7, 3.953987
ARPP21, 5987, 3.950790
RBM11, 8321, 3.950177
UBE2Q2L, 15504, 3.943890
NEK4, 3650, 3.939317
ARHGEF33, 15459, 3.937775
PLPP5, 11361, 3.935922
EID1, 6998, 3.929534
TPTE, 3891, 3.927941
RFPL1S, 5961, 3.915556
LGR6, 9881, 3.903835
NEGR1, 13864, 3.903801
C8orf74, 13561, 3.893980
CAMSAP1, 13198, 3.892807
POLB, 2797, 3.892508
ASAH2, 9327, 3.883849
KIF3C, 1966, 3.882726
DPY19L2P2, 14423, 3.867519
CHM, 629, 3.862703
TOMM70, 5340, 3.861595
LOC644189, 15097, 3.860336
LARGE2, 12330, 3.855208
RAD18, 9353, 3.851058
HYKK, 12397, 3.844012
ANKRD18B, 14951, 3.833980
C1D, 5749, 3.817966
PCDHB14, 9265, 3.809266
KIAA0895L, 15188, 3.806522
ZNF256, 5564, 3.804562
SMIM19, 12170, 3.801600
LACTB, 12113, 3.801162
SLC9A5, 3492, 3.793886
LRRTM3, 14391, 3.793704
ZNF131, 4135, 3.792727
C9orf129, 14979, 3.788830
RGS7BP, 14786, 3.787448
PHC1, 1034, 3.785617
TAF2, 3699, 3.784385
CSMD3, 12131, 3.780924
KPNA3, 1986, 3.780245
C5orf22, 8898, 3.775695
ZNF474, 12675, 3.773228
SS18L1, 7211, 3.769821
PLAA, 4976, 3.768230
PATE3, 15443, 3.763529
C3orf33, 14112, 3.761159
CDKL4, 14358, 3.759957
VIPR1, 4025, 3.758396
DUSP11, 4418, 3.750145
GPR155, 13088, 3.748196
SPA17, 8283, 3.748065
SETD4, 8328, 3.747746
PLPPR5, 13312, 3.746927
TMEM232, 15058, 3.746779
NYAP2, 9716, 3.738992
PPP1R9B, 11428, 3.735392
AP4S1, 6241, 3.733862
C11orf80, 10505, 3.731768
RBFOX2, 6908, 3.731400
LYRM2, 9544, 3.730024
SLC8A3, 3489, 3.726970
DNAJC25, 15009, 3.726290
RP9P, 14939, 3.725883
STIM2, 9712, 3.724308
MARCH6, 5661, 3.723892
TMSB15A, 6147, 3.719789
ABCA11P, 10677, 3.719156
DTX2P1-UPK3BP1-PMS2P11, 14943, 3.718613
BMPER, 13370, 3.718228
RRH, 5938, 3.718183
ESPL1, 5206, 3.718080
IFT81, 7584, 3.711971
ZNF230, 4189, 3.710821
BICD2, 6734, 3.708688
PRICKLE2, 13342, 3.708164
NR2F1, 3780, 3.708118
TRIM69, 12780, 3.707554
LRRC40, 9026, 3.692449
MIR4435-2HG, 15005, 3.690034
FGF12, 1237, 3.687531
ERCC8, 654, 3.685395
DLGAP4, 6390, 3.684358
HNRNPD, 1698, 3.680438
ZNF154, 4153, 3.680431
LINC01976, 15735, 3.675146
GGA3, 6622, 3.675031
TCTEX1D2, 13833, 3.670988
DZANK1, 8793, 3.670854
C11orf1, 10129, 3.665866
COL19A1, 723, 3.662576
RBMX, 7521, 3.661476
CNRIP1, 7136, 3.660166
MIA3, 14490, 3.656429
FCER2, 1214, 3.654939
NXPH2, 6305, 3.653789
CALM1, 448, 3.650038
KIF5C, 1969, 3.644958
PMM2, 2779, 3.644524
RIMS1, 6499, 3.632983
SEC31A, 6414, 3.631437
CCDC91, 8882, 3.629976
MFHAS1, 4907, 3.626799
LINC00294, 13938, 3.620726
FCN3, 4488, 3.619289
TAAR5, 4777, 3.617172
PPIP5K1, 5185, 3.617062
METTL5, 7614, 3.615706
PMS2P3, 2786, 3.614976
CTAGE11P, 15163, 3.614433
KIAA1671, 11626, 3.614085
OXSM, 8654, 3.605487
AASDH, 12662, 3.604468
MTFMT, 12391, 3.601900
OLFML2B, 7119, 3.601102
CNKSR2, 6409, 3.598283
LOC728485, 15240, 3.598024
DARS2, 8770, 3.596979
TMEM248, 8704, 3.596474
YTHDC2, 10161, 3.594199
ARL1, 231, 3.590502
NOL10, 10668, 3.588248
MYNN, 9213, 3.587497
KLHL42, 9650, 3.580547
KIAA1211, 9605, 3.574527
LRRC7, 9659, 3.571206
ERCC2, 1136, 3.570202
CRBN, 7968, 3.567528
NLGN1, 6413, 3.566997
ZBED6CL, 12099, 3.564856
POLDIP2, 7235, 3.562782
TACO1, 7979, 3.561156
MOK, 3110, 3.557151
EEF1AKMT2, 14732, 3.553061
NLRP9, 14231, 3.548846
RINT1, 9910, 3.543825
UNC80, 14102, 3.536521
GFPT1, 1384, 3.536231
ANKRD20A9P, 14024, 3.534660
PLCL2, 6679, 3.533819
ERGIC1, 9541, 3.532985
NIPA2, 10956, 3.531618
PRKCE, 2909, 3.528477
FAM161A, 11193, 3.527249
NUP155, 5149, 3.519189
LIPT2, 14573, 3.513976
