CEBPZOS, 9493, 5.743234
EPHA3, 12705, 5.604779
STAG3L4, 10238, 5.554676
PPP2R5E, 2869, 5.355165
FBXO45, 364, 5.351549
UBA5, 6391, 5.234161
ZNF91, 13652, 5.222815
KLHL36, 5788, 5.201966
TCEAL1, 15513, 5.164516
ATP6AP1L, 6998, 5.132208
NYAP2, 13296, 5.126577
VPS41, 7422, 5.119811
ARHGEF33, 15630, 5.111843
CNKSR2, 8770, 5.064149
NR2F1, 8098, 5.030964
SDHAF4, 7941, 5.010785
FAM168A, 10187, 4.969786
ZNF791, 7679, 4.951987
PMS2, 10974, 4.943599
SRSF7, 8898, 4.870443
ALKBH8, 15694, 4.835040
KCNE2, 3492, 4.826316
CCZ1, 10561, 4.798863
COA7, 6657, 4.792051
DYNC1LI1, 12526, 4.787192
AMZ2P1, 14979, 4.776882
CAP2, 4952, 4.733373
BICD2, 2789, 4.724724
ARSJ, 8321, 4.714429
RAD18, 10505, 4.711101
METTL2A, 4093, 4.709668
MED21, 6622, 4.687299
WAC-AS1, 9278, 4.679699
ZNF12, 723, 4.666106
NEGR1, 5961, 4.649157
ESYT3, 8465, 4.631168
CNOT7, 3565, 4.629021
SETD4, 9353, 4.621442
NLGN1, 13088, 4.620817
SOS1, 12311, 4.612765
DLG4, 6679, 4.611628
DUSP11, 3938, 4.609046
TMSB15A, 15459, 4.602222
DPY19L2P2, 13476, 4.595668
PABPC1L, 2786, 4.589835
XKR4, 3699, 4.588453
CCDC181, 4819, 4.571866
PTPRR, 9881, 4.549553
PPME1, 6384, 4.548653
GTF2H1, 10621, 4.526783
FAM161A, 5749, 4.520435
CAMSAP1, 14391, 4.497866
CHRNB1, 9213, 4.487190
FRMD4A, 4418, 4.467631
EMC4, 13529, 4.466039
NOL10, 11361, 4.463668
DPY19L2P1, 3891, 4.457585
ZNF256, 8882, 4.438487
SLC8A3, 3650, 4.427719
MYNN, 14102, 4.425616
LGR6, 8200, 4.421410
C11orf80, 7056, 4.402117
CAMK2A, 9605, 4.399955
ANKRD18CP, 6635, 4.382884
KIF3C, 14410, 4.348415
PATE3, 8283, 4.307458
HIRA, 4128, 4.307169
LINC00294, 9650, 4.303033
TMEM74, 15361, 4.271517
KIAA1211, 14939, 4.268070
NEK4, 76, 4.264266
TAF2, 9068, 4.258861
PURG, 11101, 4.253866
TACO1, 1384, 4.252618
CTBS, 12588, 4.237734
MAP3K13, 4025, 4.237304
PSTK, 4923, 4.236476
CNRIP1, 629, 4.235692
TTR, 13938, 4.224599
SEPT8, 14358, 4.224072
C1D, 14372, 4.223128
DDX31, 13198, 4.216443
PLPP5, 11841, 4.214125
ABCA11P, 14490, 4.213558
