LEPR, 282, 4.609647
PCDHB2, 7780, 4.534056
MPZL3, 13678, 4.416713
FAM110A, 7825, 4.346372
ANKRD37, 6380, 4.282009
BBS7, 2891, 4.267044
VEGFC, 9244, 4.251978
VCPKMT, 9592, 4.208563
FAM3C, 3137, 4.159366
CDR2, 3454, 4.158008
TESC, 4826, 4.154488
MAP3K9, 780, 4.142309
ADAM9, 8033, 4.054768
PRIM1, 2553, 4.025469
CFAP206, 6263, 3.998814
RFPL1S, 7419, 3.976363
NAPG, 2709, 3.974405
ASAH2B, 10873, 3.971069
CTSC, 2686, 3.969684
TMEM267, 13431, 3.969093
BEND6, 10743, 3.963282
SUPT16H, 9335, 3.924330
C2orf27A, 5566, 3.923440
HSPA4L, 14418, 3.909373
FAM20A, 3648, 3.889349
CLVS2, 4875, 3.878469
PRDX2, 8586, 3.877894
MTFP1, 1275, 3.875740
VAMP4, 7032, 3.875223
SIKE1, 596, 3.866924
LINC01260, 14561, 3.852680
CRABP1, 12933, 3.842766
SMCO4, 4618, 3.837955
PCP4, 4979, 3.833569
CRYGD, 14363, 3.795250
DPY19L2P3, 8171, 3.785757
HSPB9, 3022, 3.771084
FBXO45, 15482, 3.753209
CNST, 7546, 3.749281
TMEM191A, 6009, 3.735320
PPM1E, 7667, 3.716901
SMAP1, 6050, 3.712974
HCG4, 8247, 3.712551
SLC25A15, 12592, 3.711988
PIK3CA, 3795, 3.710499
CNKSR2, 5439, 3.707486
B4GALT6, 9860, 3.695319
DENND1B, 5917, 3.688996
NME5, 8531, 3.684863
LOC100129138, 2205, 3.674529
CNIH1, 440, 3.667585
CDS1, 13581, 3.667475
EXTL2, 9327, 3.666589
PRICKLE1, 4678, 3.662678
HECTD1, 1856, 3.650520
EFR3A, 11447, 3.638196
MAP3K8, 7961, 3.634886
POGLUT1, 14391, 3.633671
SERPINB9, 614, 3.630821
EPHB1, 13803, 3.626356
ALDH8A1, 4739, 3.620544
TBC1D30, 3980, 3.616774
SEC31A, 13508, 3.613244
COX5A, 2878, 3.595860
UBE2O, 8815, 3.592224
TRMT9B, 4285, 3.584158
INSIG2, 8656, 3.580795
CTSZ, 13313, 3.577609
GFM1, 13187, 3.576286
SLC8A1, 7384, 3.575387
NDUFC1, 276, 3.574306
KCNH4, 14770, 3.571985
